Monument,lat,long,City
Duomo Di Milano,45.464098,9.191926,Milan
Palazzo Reale,45.463131,9.191157,Milan
Galleria Vittorio Emanuele II,45.465843,9.189940,Milan
Teatro della Scala,45.467402,9.189551,Milan
Castello Sforzesco,45.470476,9.179332,Milan
Ringstrasse,48.407508,15.596498,Vienna
Opera di Vienna,48.203431,16.369203,Vienna
Parlamento d'Austria,48.207966,16.359447,Vienna
Palazzo Hofburg,48.205658,16.364780,Vienna
Castello del Belvedere di Vienna,48.191590,16.380916,Vienna
Houses of Parliament,51.499479,-0.124809,London
Big Ben,51.500729,-0.124625,London
Buckingham Palace,51.501364,-0.141890,London
Tower Hill,51.505153,-0.075664,London
Globe Theatre,51.508076,-0.097194,London
Sagrada Familia,41.403630,2.174356,Barcelona
Casa Batllo,41.391700,2.164918,Barcelona
Park Guell,41.414495,2.152694,Barcelona
Cattedrale Barcelona,41.383962,2.176199,Barcelona
Poble Espanyol,41.368809,2.148273,Barcelona
Van Gogh Museum,52.358416,4.881076,Amsterdam
Anne Frank Huis,52.375218,4.883977,Amsterdam
Tour Dei Canali,52.367573,4.904139,Amsterdam
Dam Square,52.373070,4.892647,Amsterdam
Vondelpark,52.357995,4.868648,Amsteradm
Torre Eiffel,48.858370,2.294481,Paris
Basilica Del Sacro Cuore,48.886705,2.343104,Paris
Cattedrale Notre-Dame De Paris,48.852968,2.349902,Paris
Arco Di Trionfo,48.873792,2.295028,Paris
Tour Montrarnasse,48.842138,2.321951,Paris
